Country, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
South Africa, Itumeleng Khune, Moeneeb Josephs, Shu-Aib Walters, Matthew Booth, Siboniso Gaxa, Bongani Khumalo, Siyabonga Sangweni, Aaron Mokoena, Anele Ngcongca, Lucas Thwala, Teko Modise, Siphiwe Tshabalala, Kagisho Dikgacoi, Reneilwe Letsholonyane, Thanduyise Khuboni, Steven Pienaar, MacBeth Sibaya, Katlego Mphela, Bernard Parker, Siyabonga Nomvethe, Surprise Moriri, Sthembiso Ngcobo
Algeria, Raïs M'Bolhi, Nadir Belhadj, Madjid Bougherra, Antar Yahia, Mesut Ozil, Mourad Meghni, Karim Ziani, Hassan Yebda, Rafik Halliche, Abdelkader Ghezzal, Mourad Amari, Djamel Abdoun, Zahir Amiri, Foued Kadir, Abdelkader Bentaleb, Slimane Raho, Sofiane Feghouli, Mohamed Reda Halaimia, Abdelkader Laïfaoui, Ali Aït Zizi, Ahmed Fathi, Hassan Kadri
Germany, Manuel Neuer, Tim Wiese, Hans-Jörg Butt, Philipp Lahm, Per Mertesacker, Arne Friedrich, Jérôme Boateng, Holger Badstuber, Dennis Aogo, Marcell Jansen, Bastian Schweinsteiger, Sami Khedira, Mesut Özil, Marko Marin, Toni Kroos, Piotr Trochowski, Thomas Müller, Miroslav Klose, Lukas Podolski, Cacau, Stefan Kiessling, Mario Gómez
England, David James, Robert Green, Joe Hart, Glen Johnson, Ashley Cole, John Terry, Matthew Upson, Michael Dawson, Jamie Carragher, Ledley King, Stephen Warnock, Steven Gerrard, Frank Lampard, Gareth Barry, James Milner, Michael Carrick, Joe Cole, Aaron Lennon, Shaun Wright-Phillips, Wayne Rooney, Peter Crouch, Jermain Defoe, Emile Heskey
Argentina, Sergio Romero, Mariano Andújar, Diego Pozo, Martín Demichelis, Gabriel Heinze, Nicolás Otamendi, Walter Samuel, Clemente Rodríguez, Ariel Garcé, Javier Mascherano, Ángel Di María, Juan Sebastián Verón, Maximiliano Rodríguez, Jonás Gutiérrez, Mario Bolatti, Javier Pastore, Lionel Messi, Gonzalo Higuaín, Carlos Tevez, Diego Milito, Sergio Agüero, Martín Palermo
Australia, Mark Schwarzer, Adam Federici, Vince Grella, Jason Culina, Carl Valeri, Brett Emerton, Luke Wilkshire, Craig Moore, Harry Kewell, Tim Cahill, Mark Bresciano, Mile Jedinak, Josh Kennedy, Scott McDonald, David Carney, Richard Garcia, Jason Davidson, Nick Carle, Mark Milligan, Mitch Langerak, Aurelio Vidmar, Tony Popovic
Brazil, Júlio César, Gomes, Doni, Lúcio, Juan, Thiago Silva, Luisão, Maicon, Dani Alves, Gilberto, Michel Bastos, Gilberto Silva, Felipe Melo, Josué, Elano, Ramires, Kaká, Julio Baptista, Robinho, Luis Fabiano, Nilmar, Grafite
Cameroon, Samuel Eto'o, Rigobert Song, Geremi, Alexandre Song, Achille Emana, Jean II Makoun, Benoît Assou-Ekotto, Stéphane Mbia, Vincent Aboubakar, Samuel Nguémo, Sebastien Bassong, Eric Choupo-Moting, Carlos Kameni, Thomas Job, Landry N'Guémo, Henri Bedimo, Bertrand Ngapom, Charles Itandje, Blaise Youké, Guy Zokou, Makoun Jean
Chile, Claudio Bravo, Miguel Pinto, Gary Medel, Eugenio Mena, Waldo Ponce, Arturo Vidal, Carlos Carmona, Matías Fernández, Jorge Valdivia, Mark González, Jean Beausejour, Esteban Paredes, Humberto Suazo, Fabián Orellana, Gonzalo Jara, Sebastián Pinto, Rodrigo Tello, Arturo Sanhueza, Luis Jara, Francisco Valdés, Carlos Villanueva, David Pizarro
North Korea, Ri Myong-guk, Cha Jong-hyok, Ri Jun-il, Pak Nam-chol, Ri Kwang-chon, Kim Kum-il, An Chol-hyok,Ji Yun-nam, Jong Tae-se, Hong Yong-jo, Mun In-guk, Choe Kum-chol, Pak Chol-jin, Pak Nam-chol, Kim Yong-jun, Nam Song-chol, An Yong-hak, Kim Myong-gil, Ri Chol-myong, Kim Myong-won, Kwang-hyok, Kim Kyong-il, Pak Sung-hyok
South Korea, Lee Woon-jae, Kim Young-kwon, Park Ji-sung, Lee Chung-yong, Ki Sung-yueng, Ahn Jung-hwan, Park Chu-young, Choi Joo-ho, Lee Dong-gook, Kim Ki-hee, Jung Sung-ryong, Ha Dae-sung, Kim Joo-young, Lee Yong, Oh Beom-seok, Han Kook-young, Cho Won-hee, Lee Seung-yeoul, Koo Ja-cheol, Lee Kwan-woo, Song Jong-guk, Shin Young-rok
